City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kruisfontein,ZA,2022-03-06 22:13:46,-34.0033,24.7314,73.89,50,100,5.57
68,Punta Arenas,CL,2022-03-06 22:11:32,-53.15,-70.9167,48.31,66,40,6.91
69,Cidreira,BR,2022-03-06 22:13:47,-30.1811,-50.2056,75.18,93,100,4.65
70,Roma,US,2022-03-06 22:13:48,43.2128,-75.4557,71.46,42,75,9.22
71,Tobermory,CA,2022-03-06 22:13:49,45.2501,-81.6665,33.31,85,100,27.54
72,Yarumal,CO,2022-03-06 22:13:49,6.9632,-75.4174,56.03,95,96,2.08
73,Ladario,BR,2022-03-06 22:13:49,-19.0047,-57.6017,86.97,50,81,5.79
74,Mendeleyevsk,RU,2022-03-06 22:13:50,55.9082,52.2905,7.84,100,84,3.83
75,Namatanai,PG,2022-03-06 22:13:52,-3.6667,152.4333,81.86,73,79,3.11
76,Sao Joao Da Barra,BR,2022-03-06 22:13:52,-21.6403,-41.0511,78.13,84,1,11.88
77,Gunnedah,AU,2022-03-06 22:13:53,-30.9833,150.25,64.02,82,96,4.54
78,Kodiak,US,2022-03-06 22:09:24,57.79,-152.4072,44.11,33,0,8.05
79,Ayorou,NE,2022-03-06 22:13:55,14.7308,0.9174,82.99,7,66,8.12
80,Port Lincoln,AU,2022-03-06 22:13:57,-34.7333,135.8667,62.37,74,94,15.1
81,San Felipe,VE,2022-03-06 22:13:58,10.3399,-68.7425,76.08,71,94,8.63
82,Belgrade,RS,2022-03-06 22:10:00,44.804,20.4651,36.7,91,20,5.75
83,Garowe,SO,2022-03-06 22:14:00,8.4054,48.4845,68.05,73,7,13.56
84,Mount Isa,AU,2022-03-06 22:14:03,-20.7333,139.5,76.77,31,5,10.36
85,Bengkulu,ID,2022-03-06 22:14:05,-3.8004,102.2655,75.65,84,98,3.98
86,Candelaria,PH,2022-03-06 22:14:06,13.9311,121.4233,72.0,85,100,5.44
87,Bonavista,CA,2022-03-06 22:12:20,48.6499,-53.1147,24.12,56,97,4.54
88,Tiksi,RU,2022-03-06 22:14:09,71.6872,128.8694,-24.27,97,51,1.48
89,Atuona,PF,2022-03-06 22:14:10,-9.8,-139.0333,78.42,75,95,10.67
90,Caravelas,BR,2022-03-06 22:14:11,-17.7125,-39.2481,77.9,76,100,6.93
91,Albany,US,2022-03-06 22:13:41,42.6001,-73.9662,63.21,68,75,15.5
92,Tasiilaq,GL,2022-03-06 22:14:11,65.6145,-37.6368,24.96,94,97,6.71
93,East London,ZA,2022-03-06 22:15:12,-33.0153,27.9116,75.52,77,100,12.35
94,Khatanga,RU,2022-03-06 22:15:13,71.9667,102.5,-14.13,98,100,3.53
95,Tadine,NC,2022-03-06 22:15:15,-21.55,167.8833,80.8,74,24,2.93
96,Libertador General San Martin,AR,2022-03-06 22:15:16,-23.8064,-64.7876,90.93,53,88,2.98
97,Lorengau,PG,2022-03-06 22:15:18,-2.0226,147.2712,80.94,78,99,7.85
98,Roald,NO,2022-03-06 22:15:19,62.5833,6.1333,42.94,70,75,19.57
99,Tuktoyaktuk,CA,2022-03-06 22:15:20,69.4541,-133.0374,6.8,85,75,8.05
100,Shingu,JP,2022-03-06 22:14:53,33.7333,135.9833,40.91,63,85,6.26
101,Pevek,RU,2022-03-06 22:15:22,69.7008,170.3133,-25.49,97,28,2.33
102,Hobyo,SO,2022-03-06 22:15:24,5.3505,48.5268,78.19,68,87,15.86
103,Gualeguay,AR,2022-03-06 22:11:29,-33.1416,-59.3097,71.06,93,89,6.38
104,San Cristobal,VE,2022-03-06 22:15:27,7.7669,-72.225,68.18,78,100,4.41
105,Astana,KZ,2022-03-06 22:15:29,51.1801,71.446,31.95,86,100,31.32
106,Carutapera,BR,2022-03-06 22:15:30,-1.195,-46.02,74.52,97,100,8.93
107,Huarmey,PE,2022-03-06 22:15:34,-10.0681,-78.1522,74.71,77,55,7.36
108,Puerto Ayora,EC,2022-03-06 22:15:35,-0.7393,-90.3518,82.36,75,75,3.62
