City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,58.48,60,100,19.91,overcast clouds
80,Tiksi,RU,71.6872,128.8694,-14.57,99,100,2.73,overcast clouds
81,Pandharpur,IN,17.6667,75.3333,77.97,34,69,4.9,broken clouds
82,Pingliang,CN,35.5392,106.6861,48.96,83,69,0.54,broken clouds
83,Provideniya,RU,64.3833,-173.3,19.51,73,0,38.03,clear sky
84,Aragarcas,BR,-15.8975,-52.2508,74.43,82,77,2.04,broken clouds
85,Kununurra,AU,-15.7667,128.7333,85.98,79,97,3.44,overcast clouds
86,Arraial Do Cabo,BR,-22.9661,-42.0278,78.33,84,0,25.34,clear sky
87,Egvekinot,RU,66.3167,-179.1667,12.11,56,0,19.04,clear sky
88,Vao,NC,-22.6667,167.4833,78.31,80,31,7.92,scattered clouds
89,Coquimbo,CL,-29.9533,-71.3436,65.05,75,0,5.61,clear sky
90,Nanortalik,GL,60.1432,-45.2371,8.74,72,1,6.73,clear sky
91,New Norfolk,AU,-42.7826,147.0587,66.65,44,6,5.99,clear sky
92,Sisimiut,GL,66.9395,-53.6735,-9.54,96,54,5.19,broken clouds
93,Sindor,RU,62.8629,51.8905,1.69,94,14,7.56,few clouds
94,Pravda,RU,46.9396,142.009,36.72,99,100,14.0,overcast clouds
95,Buala,SB,-8.145,159.5921,85.86,68,91,4.07,overcast clouds
96,Puerto Cabezas,NI,14.0351,-83.3888,76.91,78,1,6.2,clear sky
97,Busselton,AU,-33.65,115.3333,77.0,42,60,10.58,broken clouds
98,Butaritari,KI,3.0707,172.7902,80.8,82,70,15.61,moderate rain
99,Amga,RU,60.8953,131.9608,-4.23,99,100,1.39,overcast clouds
100,Teodoro Sampaio,BR,-22.5325,-52.1675,71.85,94,97,4.47,heavy intensity rain
101,Amapa,BR,1.0,-52.0,71.65,99,100,0.92,overcast clouds
102,Maldonado,UY,-34.6667,-54.9167,63.23,66,99,7.94,overcast clouds
103,Manakara,MG,-22.1333,48.0167,74.77,92,34,1.88,scattered clouds
104,Porto Belo,BR,-27.1578,-48.5531,82.26,91,40,6.38,moderate rain
105,Zyryanovsk,KZ,49.7386,84.2719,8.19,97,96,3.18,overcast clouds
106,Ginir,ET,7.1333,40.7,58.24,54,84,2.64,broken clouds
107,Aklavik,CA,68.2191,-135.0107,-4.0,65,75,8.05,broken clouds
108,Port-Cartier,CA,50.0334,-66.8654,25.02,75,6,11.48,clear sky
109,Auki,SB,-8.7676,160.7034,86.23,66,72,4.25,broken clouds
110,Medina Del Campo,ES,41.3124,-4.9141,47.8,71,65,11.05,broken clouds
111,Wajima,JP,37.4,136.9,52.48,43,0,11.5,clear sky
112,Malinovoye Ozero,RU,51.6753,79.7825,5.07,96,30,5.7,scattered clouds
113,Pemangkat,ID,1.1667,108.9667,78.35,86,99,6.46,overcast clouds
114,Portland,US,45.5234,-122.6762,52.99,37,75,5.75,broken clouds
115,Rawson,AR,-43.3002,-65.1023,59.14,62,36,13.42,scattered clouds
116,Chuy,UY,-33.6971,-53.4616,66.7,77,100,12.41,overcast clouds
117,Narsaq,GL,60.9167,-46.05,3.42,78,0,6.04,clear sky
118,Ust-Maya,RU,60.4167,134.5333,-3.75,98,100,1.1,overcast clouds
119,Rimouski,CA,48.4488,-68.524,31.68,78,26,9.66,scattered clouds
120,Itarema,BR,-2.9248,-39.9167,77.86,88,99,6.78,overcast clouds
121,Morondava,MG,-20.2833,44.2833,79.63,86,100,4.83,light rain
122,Saint-Augustin,CA,51.226,-58.6502,24.71,90,100,12.5,overcast clouds
123,Sobolevo,RU,54.4299,31.8996,8.74,94,41,6.24,scattered clouds
124,Tasiilaq,GL,65.6145,-37.6368,22.66,82,100,17.16,snow
125,Beringovskiy,RU,63.05,179.3167,8.44,74,1,16.22,clear sky
126,Podgornoye,RU,51.735,39.1496,14.22,62,75,13.42,light snow
127,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
128,Lorengau,PG,-2.0226,147.2712,83.08,72,99,2.55,light rain
129,Andenes,NO,69.3143,16.1194,40.98,81,75,20.71,broken clouds
130,Husavik,IS,66.0449,-17.3389,38.5,87,100,11.81,overcast clouds
131,Camacha,PT,33.0833,-16.3333,60.22,88,20,9.22,few clouds
132,Amarillo,US,35.222,-101.8313,26.38,63,40,20.71,scattered clouds
133,Bangkalan,ID,-7.0455,112.7351,81.03,84,84,2.89,broken clouds
134,Fort Nelson,CA,58.8053,-122.7002,11.79,44,75,6.91,broken clouds
135,Mehamn,NO,71.0357,27.8492,37.8,95,100,39.46,overcast clouds
136,Zaozerne,UA,45.1582,33.2787,24.69,77,56,15.84,broken clouds
137,Kitimat,CA,54.0524,-128.6534,37.9,35,100,3.94,light rain
138,Dandong,CN,40.1292,124.3947,44.2,78,98,4.85,overcast clouds
139,Taoudenni,ML,22.6783,-3.9836,69.24,14,0,14.63,clear sky
140,Cabo San Lucas,MX,22.8909,-109.9124,74.61,46,2,5.01,clear sky
141,Bubaque,GW,11.2833,-15.8333,75.69,73,51,15.88,broken clouds
142,Russell,US,32.3502,-85.1999,65.43,78,20,0.0,few clouds
143,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,0,0.0,clear sky
144,East London,ZA,-33.0153,27.9116,70.9,86,25,6.11,scattered clouds
145,Bellevue,US,47.6104,-122.2007,48.38,38,100,5.75,overcast clouds
146,Tura,IN,25.5198,90.2201,66.65,29,6,2.44,clear sky
147,Hasaki,JP,35.7333,140.8333,54.28,74,100,14.74,overcast clouds
148,Dagua,CO,3.6569,-76.6886,77.5,96,73,3.09,broken clouds
149,Yulara,AU,-25.2406,130.9889,78.64,22,16,11.5,few clouds
150,Sola,VU,-13.8833,167.55,83.25,73,94,10.18,overcast clouds
151,Bilibino,RU,68.0546,166.4372,8.78,75,11,2.35,few clouds
152,Kaitangata,NZ,-46.2817,169.8464,69.71,51,79,7.07,broken clouds
